name,category,url,careers_url,job_board,description,applied
MetaMask (ConsenSys),,https://metamask.io,https://consensys.io/careers,greenhouse,"Set up your crypto wallet, buy and sell BTC, ETH, SOL and more. Enjoy total control over your data and assets. The go-to crypto wallet for 100+ million users.",False
Phantom,,https://phantom.app,https://phantom.app/careers,custom,"Your home for trading crypto, predictions, and more",False
Ledger,,https://ledger.com,https://careers.ledger.com/homepage,greenhouse,"Secure your crypto assets such as Bitcoin, Ethereum, XRP, Monero, and more. Give yourself peace of mind by knowing that your cryptocurrencies are safe",False
Gnosis,,https://gnosis.io,https://circles.gnosis.io/invitation/nYYQgGPv,custom,"Free self-custodial money app with a Visa debit card, IBAN, 0% FX fees, and up to 5% cashback in CRC. Your funds stay in your own Safe wallet. Available in EU, EEA, Argentina, and Brazil.",False
Synthetix,,https://synthetix.io,https://snx.breezy.hr/,breezy,Onchain custody. Offchain performance. Perpetual futures that don't make you choose between security and speed.,False
Yearn Finance,,https://yearn.finance,https://yearn.finance/careers,custom,The yield protocol for digital assets,False
Balancer,,https://balancer.fi,,,We're verifying your browser,False
Curve Finance,,https://curve.fi,https://curve.fi/careers,custom,Curve-frontend is a user interface application designed to connect to Curve's deployment of smart contracts.,False
Osmosis,,https://osmosis.zone,https://forum.osmosis.zone/,custom,"Swap, earn, and build on the leading decentralized Cosmos exchange.",False
Jupiter,,https://jup.ag,,,"Swap, Borrow, Lend, Perps, Wallet, and more. For everything DeFi, just use Jupiter.",False
Raydium,,https://raydium.io,,,An on-chain order book AMM powering the evolution of DeFi,False
Magic Eden,,https://magiceden.io,https://careers.magiceden.io/jobs,greenhouse,"Discover, buy & sell Solana NFTs on Magic Eden. Explore top NFTs. Buy, list, and sell collections on the leading Solana NFT marketplace.",False
OpenSea,,https://opensea.io,https://opensea.io/careers,custom,"OpenSea, exchange everything — token trading and NFT marketplace. Welcome to the best place to discover, trade, and create onchain.",False
Foundation,,https://foundation.app,https://foundation.app/careers,custom,,False
SuperRare,,https://superrare.com,https://superrare.com/jobs,custom,"Since 2018, SuperRare has elevated digital art into cultural history—providing a trusted destination to discover, collect, and exhibit original digital works.",False
Audius,,https://audius.co,https://audius.co/careers,custom,Audius is a music streaming and sharing platform that puts power back into the hands of content creators.,False
Servo,,https://servo.org,,,"Servo is a web rendering engine written in Rust, with WebGL and WebGPU support, and adaptable to desktop, mobile, and embedded applications.",False
Ladybird,,https://ladybird.org,,,"Ladybird is a truly independent web browser, backed by a non-profit.",False
Igalia,,https://igalia.com,https://igalia.com/jobs,custom,"Igalia is an open source consulting firm specialised in the development of innovative projects and solutions. Our engineers have expertise in a wide range of technological areas, including browsers and client-side web technologies, graphics pipeline, compilers and virtual machines. We have the most WPE, WebKit, Chromium/Blink and Firefox expertise found in the consulting business, including many reviewers and committers. Igalia designs, develops, customises and optimises GNU/Linux-based solutions for companies across the globe. Our work and contributions are present in many projects such as GStreamer, Mesa 3D, WebKit, Chromium, etc.",False
Chromium/Google,,,,,,False
Firefox/Mozilla,,https://mozilla.org,https://mozilla.org/en-US/careers/,custom,Mozilla is the not-for-profit behind the lightning fast Firefox browser. We put people over profit to give everyone more power online.,False
Apple WebKit,,https://webkit.org,,,Open Source Web Browser Engine,False
Brave,,https://brave.com,https://brave.com/careers/,greenhouse,"The Brave browser is a fast, private and secure web browser for PC, Mac and mobile. Download now to enjoy a faster ad-free browsing experience that saves data and battery life by blocking tracking software.",False
Arc,,https://arc.net,https://thebrowser.company/careers/,custom,"Experience a calmer, more personal internet in this browser designed for you. Let go of the clicks, the clutter, the distractions.",False
Zed,,https://zed.dev,https://zed.dev/jobs,custom,"Zed is a high-performance, multiplayer code editor from the creators of Atom and Tree-sitter.",False
Figma,,https://figma.com,https://friends.figma.com/,custom,"Figma is the leading collaborative design platform for building meaningful products. Design, prototype, and build products faster—while gathering feedback all in one place.",False
Tauri,,https://tauri.app,,,The cross-platform app building toolkit,False
Dioxus,,https://dioxuslabs.com,,,"A fullstack crossplatform app framework for Rust. Supports Web, Desktop, SSR, Liveview, and Mobile.",False
Electron,,https://electron.io,,,"Build cross-platform desktop apps with JavaScript, HTML, and CSS",False
NW.js,,,,,,False
Flutter/Google,,,,,,False
Qt Company,,https://qt-company.com,https://www.qt.io/careers,custom,"All the essential Qt tools for all stages of Software Development Lifecycle: planning, design, development, testing, and deployment.",False
Dear ImGui,,https://dearimgui.com,,,Dear ImGui homepage,False
Bevy,,https://bevy.com,https://events.cmxhub.com/bevy-community-manager-sessions/,custom,Empower your community with Bevy's all-in-one platform. Connect ROI to your systems of record and take control of your data. Discover tailored solutions for every growth stage.,False
Wgpu,,,,,,False
gfx-rs,,,,,,False
Vulkan/Khronos,,,,,,False
OpenGL/Khronos,,,,,,False
DirectX/Microsoft,,,,,,False
Metal/Apple,,,,,,False
ANGLE/Google,,,,,,False
Pixel,,https://pixel.com,https://pixel.com/careers,custom,Pixel.com,False
Krita,,https://krita.com,,,the official Twig website,False
Blender,,https://blender.org,https://www.blender.org/jobs/,custom,The Freedom to Create,False
Substance Designer/Adobe,,,,,,False
RenderMan/Pixar,,,,,,False
Anthropic,,https://anthropic.com,https://www.anthropic.com/careers,custom,"Anthropic is an AI safety and research company that's working to build reliable, interpretable, and steerable AI systems.",False
OpenAI,,https://openai.com,,,,False
Meta AI,,https://ai.meta.com,https://ai.meta.com/join-us,custom,"Meta is building personal superintelligence for everyone. Explore Meta AI, our latest model Muse Spark, AI research, and tools like Vibes for AI video creation.",False
Google DeepMind,,,,,,False
Stability AI,,https://stability.ai,https://stability.ai/careers,greenhouse,"Stability AI is the enterprise-ready creative partner for teams and creators, delivering professional-grade generative AI tools and solutions for content production at scale.",False
HuggingFace,,https://huggingface.co,https://huggingface.co/join,custom,We’re on a journey to advance and democratize artificial intelligence through open source and open science.,False
Together AI,,https://together.ai,https://together.ai/careers,greenhouse,"Build what's next on the AI Native Cloud. Full-stack AI platform for inference, fine-tuning, and GPU clusters — powered by cutting-edge research.",False
Modal,,https://modal.com,https://modal.com/careers,custom,"Bring your own code, and run CPU, GPU, and data-intensive compute at scale. The serverless platform for AI and data teams.",False
Replicate,,https://replicate.com,https://replicate.com/about#join-us,custom,Run open-source machine learning models with a cloud API,False
Weights & Biases,,https://wandb.ai,https://wandb.ai/careers,custom,"Weights & Biases, developer tools for machine learning",False
Cohere,,https://cohere.com,https://cohere.com/blog/cohere-alephalpha-join-forces,custom,"Cohere builds powerful models and AI solutions enabling enterprises to automate processes, empower employees, and turn fragmented data into actionable insights.",False
Mistral AI,,https://mistral.ai,https://mistral.ai/careers,lever,"The most powerful AI platform for enterprises. Customize, fine-tune, and deploy AI assistants, autonomous agents, and multimodal AI with open models.",False
Scale AI,,https://scale.com,https://scale.com/careers,custom,"Scale delivers proven data, evaluations, and outcomes to AI labs, governments, and the Fortune 500.",False
Eleven Labs,,https://elevenlabs.io,https://elevenlabs.io/careers,custom,"Create lifelike speech with our AI voice generator and voice agents platform. Access 5,000+ voices in 70+ languages with secure APIs and SDKs.",False
RunwayML,,https://runwayml.com,https://runwayml.com/careers,custom,"We are building foundational General World Models that will be capable of simulating all possible worlds and experiences. The next frontier of intelligence will come from models that can understand, perceive, generate and act in the world.",False
Jasper,,https://jasper.com,,,,False
Bria,,https://bria.com,http://careers.acrisure.com/us.en,custom,"© 2026 Acrisure, LLC. All rights reserved",False
Giza Technologies,,,,,,False
CUDA/NVIDIA,,,,,,False
Cerebras,,https://cerebras.ai,https://cerebras.ai/join-us,custom,Cerebras is the go-to platform for fast and effortless AI training. Learn more at cerebras.ai.,False
Hugging Face,,https://huggingface.co,https://huggingface.co/join,custom,We’re on a journey to advance and democratize artificial intelligence through open source and open science.,False
Tensorflow/Google,,,,,,False
PyTorch/Meta,,,,,,False
JAX/Google,,,,,,False
MXNet/Apache,,,,,,False
ONNX/Open,,,,,,False
Triton Inference,,,,,,False
vLLM,,https://vllm.com,https://vllm.com/careers,custom,,False
LLaMA.cpp,,,,,,False
Ollama,,https://ollama.com,,,"Ollama is the easiest way to automate your work using open models, while keeping your data safe.",False
LangChain,,https://langchain.com,https://langchain.com/careers,custom,"LangChain provides the engineering platform and open source frameworks developers use to build, test, and deploy reliable AI agents.",False
LlamaIndex,,https://llamaindex.ai,https://llamaindex.ai/careers,custom,"LlamaParse is the world's best agentic OCR for processing complex documents with messy tables, charts, images, and more with human-level accuracy.",False
Fireworks AI,,,,,,False
Anyscale,,https://anyscale.com,https://anyscale.com/events,custom,"Powered by Ray, Anyscale helps AI builders run data-intensive workloads to build and deploy Foundation Models and AI at scale on any cloud.",False
Databricks,,https://databricks.com,https://databricks.com/company/careers,greenhouse,"Databricks offers a unified platform for data, analytics and AI. Build better AI with a data-centric approach. Simplify ETL, data warehousing, governance and AI on the Data Intelligence Platform.",False
Palantir,,https://palantir.com,https://palantir.com/careers,lever,Foundational Software of Tomorrow. Delivered Today.™,False
Sisense,,https://sisense.com,https://community.sisense.com/,custom,"Sisense delivers AI-powered embedded analytics to unlock insights and convert data into revenue with pro-code, low-code, and no-code flexibility",False
Tableau/Salesforce,,,,,,False
Looker/Google,,,,,,False
Domo,,https://domo.com,https://domo.com/company/careers,custom,"Strengthen your entire data journey with Domo’s AI and data products. Connect and move data from any source, prepare and expand data access for exploration, and accelerate business-critical insights.",False
Alteryx,,https://alteryx.com,https://inspire.alteryx.com/event/inspire/agenda,custom,"Automate data workflows, reduce manual work, and deliver insights faster with Alteryx One. Integrates with Snowflake, Databricks, and BI tools.",False
Informatica,,https://informatica.com,https://careers.salesforce.com/en/jobs/?search=informatica&pagesize=20#results,custom,Informatica is an Enterprise Cloud Data Management leader that brings data to life by empowering businesses to realize the transformative power of their most critical assets.,False
Talend,,https://talend.com,https://www.qlik.com/us/company/careers,custom,"Talend is now part of Qlik. Seamlessly integrate, transform, and govern data across any environment with Qlik Talend Cloud — built for AI, analytics, and trusted decisions.",False
Stitch,,https://stitch.com,,,Stitch Innovations and technology for creative people.,False
Segment,,https://segment.com,https://jobs.twilio.com/careers,greenhouse,"Collect, unify, and enrich customer data across any app or device with the Twilio Segment CDP, now available on Twilio.com.",False
mParticle,,https://mparticle.com,https://mparticle.com/blog/mparticle-aws-advertising-and-marketing-technology-competency/,custom,"mParticle by Rokt is the choice for multi-channel consumer brands who want to deliver intelligent and adaptive customer experiences in the moments that matter, across any screen or device.",False
Treasure Data,,https://treasure-data.com,https://www.treasure.ai/careers/,custom,"Treasure AI is the Agentic Experience Platform built to acquire, retain, and grow your most valuable customers, powered by AI, shaped by human creativity, and always-on through continuous, context-driven action. See why Forrester named us a Leader.",False
Amperity,,https://amperity.com,https://amperity.com/careers,greenhouse,"Use AI to build and activate customer profiles in your data lakehouse — faster, smarter, and with much less work",False
Treasure Data,,https://treasure-data.com,https://www.treasure.ai/careers/,custom,"Treasure AI is the Agentic Experience Platform built to acquire, retain, and grow your most valuable customers, powered by AI, shaped by human creativity, and always-on through continuous, context-driven action. See why Forrester named us a Leader.",False
Redshift/AWS,,https://redshiftaws.com,,,,False
Epic Games,,https://epicgames.com,,,,False
Unity Technologies,,https://unity.com,https://www.youtube.com/@unity/streams,custom,"Develop, deploy, and grow with Unity, the world’s leading 3D game engine. Build for all major platforms from mobile, to PC and console as well as XR, acquire players, monetize your game, and power industrial applications.",False
Nvidia,,https://nvidia.com,https://nvidianews.nvidia.com/news/nvidia-and-emerald-ai-join-leading-energy-companies-to-pioneer-flexible-ai-factories-as-grid-assets,custom,We create the world’s fastest supercomputer and largest gaming platform.,False
DICE/EA,,,,,,False
Naughty Dog,,https://naughtydog.com,https://naughtydog.com/careers,custom,Fan-Submitted Shots Focusing on Unlockable Skins From The Last of Us,False
Valve,,https://valvesoftware.com,https://valvesoftware.com/about,custom,"We make games, Steam, and hardware. Join Us.",False
FromSoftware,,https://fromsoftware.com,,,,False
Wgpu,,,,,,False
The Machinery,,,,,,False
Blackthorne Games,,,,,,False
Godot Engine,,https://godotengine.org,,,"Godot provides a huge set of common tools, so you can just focus on making your game without reinventing the wheel.",False
Amazon Lumberyard,,https://amazonlumberyard.com,https://pages.awscloud.com/GLOBAL-event-LN-Whats-Next-with-AWS-2026-reg.html?hp=h1m&trk=77d5639f-0c84-4808-a595-386492a67c28,custom,"Amazon Web Services offers reliable, scalable, and inexpensive cloud computing services. Free to join, pay only for what you use.",False
Cry Engine/Crytek,,,,,,False
Wwise/Audiokinetic,,,,,,False
FMOD Studio,,,,,,False
Substance 3D/Adobe,,,,,,False
Houdini/SideFX,,,,,,False
Maya/Autodesk,,,,,,False
3DS Max/Autodesk,,,,,,False
Cinema 4D/Maxon,,,,,,False
ZBrush/Pixologic,,,,,,False
Marvelous Designer,,https://marvelousdesigner.com,,,The industry standard for realistic 3D cloth modeling and simulation. Unleash creativity with our Academy Award-winning 3D clothing design software!,False
Speedtree,,https://speedtree.com,https://www.youtube.com/@unity/streams,custom,Create and customize vegetation models with SpeedTree's advanced procedural modeling tools.,False
Quixel,,https://quixel.com,https://quixel.com/jobs,custom,"Bring your CG scenes to life with high-quality 3D assets captured from the real world—for games, film, archviz, and more.",False
Megascans/Epic,,,,,,False
Sketchfab,,https://sketchfab.com,https://www.epicgames.com/site/en-US/careers,custom,"With a community of over one million creators, we are the world’s largest platform to publish, share, and discover 3D content on web, mobile, AR, and VR.",False
Poly Haven,,https://polyhaven.com,https://polyhaven.com/project/lighthouse,custom,The Public 3D Asset Library,False
VRChat,,https://vrchat.com,https://vrchat.com/careers,lever,,False
Decentraland,,https://decentraland.com,,,,False
The Sandbox,,https://the-sandbox.com,,,,False
Roblox,,https://roblox.com,https://roblox.com/careers,custom,"Roblox is ushering in the next generation of entertainment. Imagine, create, and play together with millions of people across an infinite variety of immersive, user-generated 3D worlds.",False
Mojang/Microsoft,,,,,,False
Supercell,,https://supercell.com,https://supercell.com/en/careers/,custom,Visit Supercell.com and find out more about us and our games.,False
King/Activision,,,,,,False
Scopely,,https://scopely.com,https://scopely.com/en/join-us,greenhouse,"Scopely is expanding the possibilities of play through game experiences that aim to inspire community, connection and competition. Inspire play, every day.",False
Playrix,,https://playrix.com,https://playrix.com/careers,custom,#1 European mobile game developer,False
Moon Active,,https://moonactive.com,https://www.moonactive.com/careers/,custom,"As one of the world’s fastest-growing mobile game companies, we produce engaging entertainment that is enjoyed by millions of players across the universe.",False
Playtika,,https://playtika.com,https://playtika.com/careers/,greenhouse,"Discover how Playtika blends art and science to create engaging experiences for millions worldwide, setting the standard for gaming brands and companies.",False
Zynga/Take-Two,,,,,,False
Machine Games,,https://machine-games.com,,,Copyright © 2024 machine-games.com - Med ensamrätt.,False
Fly.io,,https://fly.io,https://fly.io/jobs/,custom,Build fast. Run any code fearlessly.,False
Replit,,https://replit.com,https://replit.com/signup?goto=%2F%7E%3Fupgrade%3Dpricing_page_signup%26plan%3Dhacker_pro%26period%3Dyearly,custom,Build and deploy software collaboratively with the power of AI without spending a second on setup.,False
Railway,,https://railway.app,https://railway.app/,custom,"Railway is a full-stack cloud for deploying web apps, servers, databases, and more with automatic scaling, monitoring, and security.",False
Render,,https://render.com,https://render.com/docs/cronjobs,custom,Deploy and scale any app or agent from your first user to your billionth. Build faster on intuitive cloud infrastructure for the modern web.,False
DigitalOcean,,https://digitalocean.com,https://digitalocean.com/careers,custom,"Build on DigitalOcean's unified agentic AI cloud infrastructure. AI-powered development, instant deployment, easy management. Simple and affordable.",False
CoreWeave,,https://coreweave.com,https://coreweave.com/events,custom,"CoreWeave is the force multiplier that empowers pioneers with momentum, magnitude, and mastery—enabling them to innovate with confidence. Explore the #1 AI Cloud.",False
Lambda Labs,,https://lambda-labs.com,,,High-performance speakers designed and crafted in Austria.,False
Databricks,,https://databricks.com,https://databricks.com/company/careers,greenhouse,"Databricks offers a unified platform for data, analytics and AI. Build better AI with a data-centric approach. Simplify ETL, data warehousing, governance and AI on the Data Intelligence Platform.",False
Vercel,,https://vercel.com,https://vercel.com/events,custom,"Vercel gives developers the frameworks, workflows, and infrastructure to build a faster, more personalized web.",False
Netlify,,https://netlify.com,https://netlify.com/careers/,greenhouse,"Create with AI or code, deploy instantly on production infrastructure. One platform to build and ship.",False
Docker,,https://docker.com,https://docker.com/careers/,custom,"Docker is a platform designed to help developers build, share, and run container applications. We handle the tedious setup, so you can focus on the code.",False
Canonical,,https://canonical.com,https://ubuntu.com/blog/canonical-joins-the-connectivity-standards-alliance,custom,"Drive innovation in your enterprise with trusted open source from Canonical — simple, cost-effective, and supported.",False
Red Hat,,https://redhat.com,https://redhat.com/en/jobs,custom,"Red Hat is the world’s leading provider of open source solutions, using a community-powered approach to provide reliable and high-performing cloud, virtualization, storage, Linux, and middleware technologies. Red Hat also offers award-winning support, training, and consulting services. Red Hat is an S&P 500 company with more than 80 offices spanning the globe, empowering its customers’ businesses.",False
HashiCorp,,https://hashicorp.com,,,We're verifying your browser,False
CloudFlare,,https://cloudflare.com,https://discord.com/invite/cloudflaredev,custom,"Make employees, applications and networks faster and more secure everywhere, while reducing complexity and cost.",False
AWS/Amazon,,https://awsamazon.co,,,,False
Google Cloud,,https://cloud.google.com,https://developers.google.com/program/gear/?utm_source=web&utm_medium=cgc&utm_campaign=FY26-Q2-GLOBAL-GOO38926-onlineevent-er-gear-135947-web-AgentPlatform-cgchomepage&utm_content=Next26&utm_term=-,custom,"Meet your business challenges head on with AI and cloud computing services from Google, including security, data management, and hybrid & multi-cloud.",False
Microsoft Azure,,https://azure.microsoft.com,,,"Invent with purpose, realize cost savings, and make your organization more efficient with Microsoft Azure’s open and flexible cloud computing platform.",False
IBM Cloud,,https://ibmcloud.com,https://ibmcloud.com/careers,greenhouse,"IBM Cloud with Red Hat offers market-leading security, enterprise scalability and open innovation to unlock the full potential of cloud and AI.",False
Oracle Cloud,,https://oracle-cloud.com,,,,False
Linode/Akamai,,,,,,False
Vultr,,https://vultr.com,https://vultr.com/resources/partners/,custom,Vultr Global Cloud Hosting - Brilliantly Fast SSD VPS Cloud Servers. 100% KVM Virtualization,False
Hetzner,,https://hetzner.com,https://career.hetzner.com/de/,custom,"Günstige Hosting-Lösungen, Dedicated Server und Cloud-Services bei Hetzner ✓ DSGVO-konform ✓ günstige Preise  ✓ 100 % grüne Energie",False
OVH,,https://ovh.com,https://ovh.com/careers,ats,"A OVHcloud oferece mais de 80 serviços, abertos e reversíveis, com a melhor relação preço/desempenho: nomes de domínio, VPS, servidores dedicados, cloud IaaS e PaaS.",False
Exoscale,,https://exoscale.com,https://exoscale.com/jobs/,custom,"Exoscale is your European sovereign cloud hosting provider! High performance, GDPR compliant, Secure & scalable for EU businesses.",False
Scaleway,,https://scaleway.com,https://scaleway.com/en/serverless-jobs/,custom,"Build on a secure, transparent, and fast-moving cloud & AI platform built for what’s next.",False
UpCloud,,,,,,False
Heroku/Salesforce,,,,,,False
PingCAP,,https://pingcap.com,https://pingcap.com/tidb-scaile-summit/2026-europe/,custom,"TiDB is the distributed SQL database built for AI agents. Vectors, transactions, and analytics in one engine with ACID guarantees and elastic scale.",False
Cockroach Labs,,https://cockroach-labs.com,https://cockroach-labs.com/careers,custom,"Welcome to my website. In case you came here to purchase a domain name: this is the right spot.
I'm a german IT guy purchasing interesting domain names and then re-selling them once I no longer have use for them.",False
PlanetScale,,https://planetscale.com,https://planetscale.com/careers,greenhouse,PlanetScale offers the world’s fastest and most scalable cloud hosting for Vitess and Postgres.,False
Neon,,https://neon.com,https://www.databricks.com/company/careers/open-positions?department=engineering&location=all&itm_source=www&itm_category=company&itm_page=engineering-at-databricks&itm_location=body&itm_component=hero&itm_offer=open-positions,greenhouse,"The database you love, on a serverless platform designed to help you build reliable and scalable applications faster.",False
Supabase,,https://supabase.com,https://supabase.com/docs/guides/database/tables?queryGroups=database-method&database-method=sql&queryGroups=language&language=js#joining-tables-with-foreign-keys,custom,"Build production-grade applications with a Postgres database, Authentication, instant APIs, Realtime, Functions, Storage and Vector embeddings. Start for free.",False
Firebase/Google,,,,,,False
Parse Server,,,,,,False
Convex,,https://convex.com,https://convex.com/careers,custom,The only sales intelligence platform built for commercial services teams to reach decision-makers and win more deals across 5.9 M+ properties.,False
Hasura,,https://hasura.com,https://hasura.io/careers,custom,"Hasura delivers accurate, fast, and secure data access for AI and digital experiences. Trusted by data leaders and developers at Fortune 100 companies and high-growth AI and digital natives.",False
AWS Lambda,,https://awslambda.com,,,,False
Google Cloud Functions,,,,,,False
Azure Functions,,,,,,False
Cloudflare Workers,,https://cloudflareworkers.com,,,,False
Deno Deploy,,,,,,False
Begin,,https://begin.ai,,,We help you begin your AI journey in a meaningful way.,False
Netlify Functions,,,,,,False
SUSE,,https://suse.com,https://jobs.suse.com/,custom,"Modernize your infrastructure with SUSE Linux Enterprise servers, cloud technology for IaaS, and SUSE's software-defined...",False
Rancher,,https://rancher.com,https://rancher.com/community,custom,"Rancher, the open-source multi-cluster orchestration platform, lets operations teams deploy, manage and secure enterprise Kubernetes. Request a demo!",False
JFrog,,https://jfrog.com,https://join.jfrog.com/,custom,JFrog software supply chain solutions provide an end-to-end pipeline to control your binaries from build to production. Power your software updates to the edge.,False
CloudBees,,https://cloudbees.com,https://www.cloudbees.com/careers,custom,"CloudBees Unify is the enterprise control and context plane for your entire AI-powered software delivery lifecycle: open, multi-agentic, and continuously secure.",False
GitLab,,https://gitlab.com,https://gitlab.com/jobs/,custom,Your intelligent orchestration platform for DevSecOps,False
GitHub/Microsoft,,,,,,False
MongoDB,,https://mongodb.com,https://www.mongodb.com/community/,custom,"Get your ideas to market faster with a flexible, AI-ready database. MongoDB makes working with data easy.",False
Elastic,,https://elastic.co,https://elastic.co/community,custom,Power insights and outcomes with The Elasticsearch Platform. See into your data and find answers that matter with enterprise solutions designed to help you accelerate time to insight. Try Elastic toda...,False
Splunk,,https://splunk.com,https://careers.cisco.com/global/en/splunk,custom,"Splunk is the key to enterprise resilience. Our platform enables organizations around the world to prevent major issues, absorb shocks and accelerate digital transformation.",False
Databricks,,https://databricks.com,https://databricks.com/company/careers,greenhouse,"Databricks offers a unified platform for data, analytics and AI. Build better AI with a data-centric approach. Simplify ETL, data warehousing, governance and AI on the Data Intelligence Platform.",False
Snowflake,,https://snowflake.com,https://snowflake.com/en/summit/,custom,"Snowflake enables organizations to collaborate, build AI-powered data apps, and unlock data insights—all within a secure and scalable AI Data Cloud.",False
