name,category,url,careers_url,job_board,description,applied
Modal,,https://modal.com,https://modal.com/careers,custom,"Bring your own code, and run CPU, GPU, and data-intensive compute at scale. The serverless platform for AI and data teams.",False
Replicate,,https://replicate.com,https://replicate.com/about#join-us,custom,Run open-source machine learning models with a cloud API,False
Weights & Biases,,https://wandb.ai,https://wandb.ai/careers,custom,"Weights & Biases, developer tools for machine learning",False
Cohere,,https://cohere.com,https://cohere.com/blog/cohere-alephalpha-join-forces,custom,"Cohere builds powerful models and AI solutions enabling enterprises to automate processes, empower employees, and turn fragmented data into actionable insights.",False
Mistral AI,,https://mistral.ai,https://mistral.ai/careers,lever,"The most powerful AI platform for enterprises. Customize, fine-tune, and deploy AI assistants, autonomous agents, and multimodal AI with open models.",False
Scale AI,,https://scale.com,https://scale.com/careers,custom,"Scale delivers proven data, evaluations, and outcomes to AI labs, governments, and the Fortune 500.",False
Eleven Labs,,https://elevenlabs.io,https://elevenlabs.io/careers,custom,"Create lifelike speech with our AI voice generator and voice agents platform. Access 5,000+ voices in 70+ languages with secure APIs and SDKs.",False
RunwayML,,https://runwayml.com,https://runwayml.com/careers,custom,"We are building foundational General World Models that will be capable of simulating all possible worlds and experiences. The next frontier of intelligence will come from models that can understand, perceive, generate and act in the world.",False
Jasper,,https://jasper.com,,,,False
Bria,,https://bria.com,http://careers.acrisure.com/us.en,custom,"© 2026 Acrisure, LLC. All rights reserved",False
Giza Technologies,,,,,,False
CUDA/NVIDIA,,,,,,False
Cerebras,,https://cerebras.ai,https://cerebras.ai/join-us,custom,Cerebras is the go-to platform for fast and effortless AI training. Learn more at cerebras.ai.,False
Epic Games,,https://epicgames.com,,,,False
Unity Technologies,,https://unity.com,https://www.youtube.com/@unity/streams,custom,"Develop, deploy, and grow with Unity, the world’s leading 3D game engine. Build for all major platforms from mobile, to PC and console as well as XR, acquire players, monetize your game, and power industrial applications.",False
Nvidia,,https://nvidia.com,https://nvidianews.nvidia.com/news/nvidia-and-emerald-ai-join-leading-energy-companies-to-pioneer-flexible-ai-factories-as-grid-assets,custom,We create the world’s fastest supercomputer and largest gaming platform.,False
DICE/EA,,,,,,False
Naughty Dog,,https://naughtydog.com,https://naughtydog.com/careers,custom,Fan-Submitted Shots Focusing on Unlockable Skins From The Last of Us,False
Valve,,https://valvesoftware.com,https://valvesoftware.com/about,custom,"We make games, Steam, and hardware. Join Us.",False
FromSoftware,,https://fromsoftware.com,,,,False
Bandcamp,,https://bandcamp.com,https://bandcamp.com/careers,custom,Details: cache-lis1490046-LIS 1777174956 4030605249,False
The Machinery,,,,,,False
Blackthorne Games,,,,,,False
Fly.io,,https://fly.io,https://fly.io/jobs/,custom,Build fast. Run any code fearlessly.,False
Replit,,https://replit.com,https://replit.com/signup?goto=%2F%7E%3Fupgrade%3Dpricing_page_signup%26plan%3Dhacker_pro%26period%3Dyearly,custom,Build and deploy software collaboratively with the power of AI without spending a second on setup.,False
Railway,,https://railway.app,https://railway.app/,custom,"Railway is a full-stack cloud for deploying web apps, servers, databases, and more with automatic scaling, monitoring, and security.",False
Render,,https://render.com,https://render.com/docs/cronjobs,custom,Deploy and scale any app or agent from your first user to your billionth. Build faster on intuitive cloud infrastructure for the modern web.,False
DigitalOcean,,https://digitalocean.com,https://digitalocean.com/careers,custom,"Build on DigitalOcean's unified agentic AI cloud infrastructure. AI-powered development, instant deployment, easy management. Simple and affordable.",False
CoreWeave,,https://coreweave.com,https://coreweave.com/events,custom,"CoreWeave is the force multiplier that empowers pioneers with momentum, magnitude, and mastery—enabling them to innovate with confidence. Explore the #1 AI Cloud.",False
Lambda Labs,,https://lambda-labs.com,,,High-performance speakers designed and crafted in Austria.,False
Databricks,,https://databricks.com,https://databricks.com/company/careers,greenhouse,"Databricks offers a unified platform for data, analytics and AI. Build better AI with a data-centric approach. Simplify ETL, data warehousing, governance and AI on the Data Intelligence Platform.",False
Vercel,,https://vercel.com,https://vercel.com/events,custom,"Vercel gives developers the frameworks, workflows, and infrastructure to build a faster, more personalized web.",False
Netlify,,https://netlify.com,https://netlify.com/careers/,greenhouse,"Create with AI or code, deploy instantly on production infrastructure. One platform to build and ship.",False
Docker,,https://docker.com,https://docker.com/careers/,custom,"Docker is a platform designed to help developers build, share, and run container applications. We handle the tedious setup, so you can focus on the code.",False
Canonical,,https://canonical.com,https://ubuntu.com/blog/canonical-joins-the-connectivity-standards-alliance,custom,"Drive innovation in your enterprise with trusted open source from Canonical — simple, cost-effective, and supported.",False
Red Hat,,https://redhat.com,https://redhat.com/en/jobs,custom,"Red Hat is the world’s leading provider of open source solutions, using a community-powered approach to provide reliable and high-performing cloud, virtualization, storage, Linux, and middleware technologies. Red Hat also offers award-winning support, training, and consulting services. Red Hat is an S&P 500 company with more than 80 offices spanning the globe, empowering its customers’ businesses.",False
HashiCorp,,https://hashicorp.com,,,We're verifying your browser,False
CloudFlare,,https://cloudflare.com,https://discord.com/invite/cloudflaredev,custom,"Make employees, applications and networks faster and more secure everywhere, while reducing complexity and cost.",False
Auth0,,https://auth0.com,https://auth0.com/resources/webinars/introducing-auth-for-genai-the-future-of-ai-security,custom,"Secure users, AI agents, and more with Auth0, an easy-to-implement, scalable, and adaptable authentication and authorization platform.",False
Okta,,https://okta.com,https://support.okta.com/help/s/community?language=en_US,custom,"The Okta and Auth0 Platforms enable secure access, authentication, and automation — putting Identity at the heart of business security and growth.",False
Zoom,,https://zoom.us,https://zoom.us/join,custom,"Modernize workflows with Zoom's trusted collaboration tools: including video meetings, Zoom Chat, VoIP phone, webinars, whiteboard, contact center, and events.",False
Signal,,https://signal.org,https://signal.org/workworkwork/,custom,"Say ""hello"" to a different messaging experience. An unexpected focus on privacy, combined with all of the features you expect.",False
Mullvad,,https://mullvad.net,https://www.mullvad.careers/,custom,Free the internet from mass surveillance and censorship. Fight for privacy with Mullvad VPN and Mullvad Browser.,False
1Password,,https://1password.com,https://1password.com/careers,custom,"Protect passwords and secrets, manage app access, and secure AI tools with 1Password. Easy to adopt from growing teams to enterprise.",False
Teleport,,https://goteleport.com,https://goteleport.com/community-slack/,custom,"Teleport unifies identities — humans, machines, and AI — with strong identity implementation to speed up engineering, improve resiliency against identity-based attacks, and secure AI in production infrastructure.",False
Snyk,,https://snyk.io,https://snyk.io/careers/,custom,"Snyk is the AI Security Fabric. Secure at inception with continuous, autonomous defense for AI-generated code and AI-native apps. Unleash AI innovation securely. Book a demo.",False
Wiz,,https://wiz.io,https://wiz.io/careers,greenhouse,"Wiz connects code, cloud, and runtime into one agentic cybersecurity platform. Prevent risk, detect threats, and start secure – across every cloud and AI layer.",False
Zscaler,,https://zscaler.com,https://zscaler.com/careers,custom,Zscaler is a leading cloud enterprise security provider helping global businesses adopt zero trust for secure digital transformation.,False
Vanta,,https://vanta.com,https://vanta.com/products/grc,custom,"Vanta automates the complex and time-consuming process of SOC 2, HIPAA, ISO 27001, PCI, and GDPR compliance certification. Automate your security monitoring in weeks instead of months.",False
Rubrik,,https://rubrik.com,https://www.rubrik.com/company/careers,custom,"Organizations rely on Rubrik for resilience against cyber attacks and operational disruptions with automation, fast recovery and easy cloud adoption.",False
Cloudflare,,https://cloudflare.com,https://discord.com/invite/cloudflaredev,custom,"Make employees, applications and networks faster and more secure everywhere, while reducing complexity and cost.",False
Fastly,,https://fastly.com,https://fastly.com/about/careers,custom,"Fastly's edge cloud platform delivers faster, safer, and more scalable sites and apps to customers. Elevate your edge CDN, video delivery, security, and more.",False
Akamai,,https://akamai.com,https://partners.akamai.com/registration/,custom,Akamai is the cybersecurity and cloud computing company that powers and protects business online.,False
Cisco,,https://cisco.com,https://careers.cisco.com/global/en/home,custom,"Cisco is a worldwide technology leader powering an inclusive future for all. Learn more about our products, services, solutions, and innovations.",False
Arista Networks,,https://arista.com,,,,False
Juniper Networks,,https://juniper.net,https://careers.hpe.com/juniper,custom,"Proven AI for your network. Mist, the AI-native networking platform makes every connection more reliable, measurable, and secure for businesses.",False
Observability/New Relic,,,,,,False
PagerDuty,,https://pagerduty.com,https://careers.pagerduty.com/home,greenhouse,"Turn incidents into intelligence. PagerDuty's AI-first Operations Platform helps you automate, resolve, and prevent critical issues — from detection to resolution.",False
Datadog,,https://datadoghq.com,https://www.datadoghq.com/product/data-observability/jobs-monitoring/,custom,"See metrics from all of your apps, tools & services in one place with Datadog’s cloud monitoring as a service solution. Try it for free.",False
Honeycomb.io,,https://honeycomb.io,https://honeycombpollinators.slack.com/join/shared_invite/zt-36l4bm56r-HDRSbqbQvjGPeH1VIhMmSw#/shared-invite/email,custom,"Honeycomb is the observability platform built for AI-era software. Fast queries, unified telemetry, and LLM observability. Used by Slack, Intercom, and Dropbox.",False
Linux Foundation,,https://linuxfoundation.org,https://www.linuxfoundation.org/about/join?hsLang=en,custom,"Helping open technology projects build world class open source software, communities and companies.",False
Apache Software Foundation,,,,,,False
Cloud Native Computing Foundation,,,,,,False
